frame,detection,avg_knee_angle,avg_spine_angle,l_knee_angle,r_knee_angle,l_spine_angle,r_spine_angle,mean_speed
0,0,179.00058847665747,5.865284416128612,178.9295750040058,179.07160194930916,11.286314739328692,0.44425409292853296,0.0
1,0,179.49317749907965,5.918515703910743,179.32382384192402,179.66253115623527,10.620662933949298,1.216368473872188,20.876565278803632
2,0,179.47004033152632,5.782546877813677,179.4923586096378,179.44772205341485,10.380516789908885,1.1845769657184693,4.375299853484747
3,0,179.46100918684672,5.754359382065917,179.64780440073534,179.2742139729581,10.340621661495105,1.1680971026367293,1.768916170797842
4,0,179.55027976433746,5.721726339081132,179.46477533972666,179.63578418894824,10.111655827905219,1.331796850257046,4.662159860542896
5,0,179.54546531667995,5.6259798817910704,179.51103634990432,179.57989428345556,9.770267781206,1.4816919823761412,3.695231529111293
6,0,179.74483022147103,5.665592296726047,179.91597656236223,179.57368388057986,9.51867939818547,1.8125051952666247,4.017454538406756
7,0,179.83270442665992,5.507094141169916,179.89327892246666,179.77212993085317,9.510277383840858,1.5039108984989744,3.1665513009876474
8,0,179.3085928633426,5.513756662939159,179.5994851585526,179.0177005681326,9.615530348572644,1.4119829773056738,2.5442410945052742
9,0,179.76303117174297,5.57555417204174,179.7724511047067,179.75361123877923,9.63773399305587,1.5133743510276108,2.243873992993926
10,0,179.75556442689992,5.680319614768845,179.65250032429336,179.8586285295065,10.038384929769713,1.322254299767977,5.735049116256745
11,0,179.66232327204483,5.649176122501143,179.5987289751756,179.72591756891407,10.027954979682224,1.2703972653200626,2.7829035159908644
12,0,179.7219452749727,5.686161816554872,179.74249831559678,179.70139223434867,10.113978815043657,1.2583448180660868,5.617863123466419
13,0,179.68168360813098,5.677140300922416,179.69869107702155,179.66467613924044,9.993458595323014,1.360822006521818,1.8004347151475415
14,0,179.4172499012534,6.022342082506725,179.72656860284576,179.10793119966104,10.674831035362208,1.369853129651241,10.610530286181335
15,0,179.24819871642836,6.06329214964286,179.53137042681888,178.96502700603787,10.899177071094973,1.227407228190745,3.027386085998107
16,0,179.22033441040162,5.805979361582483,179.17718482511495,179.26348399568832,10.524676951386905,1.0872817717780603,3.0799612216982655
17,0,179.11209998503506,5.60908977766724,179.0661342861643,179.15806568390582,10.440307106324529,0.7778724490099505,1.7648989082845088
18,0,178.487064106233,5.545756918847231,178.4414447636512,178.53268344881477,10.48256064428741,0.6089531934070512,3.2541449113412124
19,0,178.39711037658503,5.5143564625674015,177.81212368192143,178.98209707124866,10.541301433421179,0.4874114917136238,4.852817133172524
20,0,178.40951603572609,5.491438682475526,177.7006191965977,179.11841287485444,10.574424816048568,0.40845254890248456,2.116656813574861
21,0,178.6446205001335,5.480292427948318,177.75303068357803,179.53621031668897,10.544634981572104,0.415949874324532,2.9313680737430188
22,0,178.3905309934068,5.285444106773852,177.37311167192908,179.4079503148845,10.225082940517726,0.34580527302997804,3.123146678552196
23,0,178.14793497646434,5.33311174741924,177.07088626789482,179.22498368503383,9.66160311750036,1.0046203773381202,11.311044354556167
24,0,178.06902808352848,5.299968278472998,176.9991587674682,179.13889739958876,9.296712600228226,1.3032239567177704,9.733929707628757
25,0,178.1520673884856,5.2124454191049505,177.14647802220748,179.1576567547637,9.247946682024779,1.176944156185122,2.390958154426267
26,0,178.3070088660507,5.199867967749083,177.29019675750126,179.32382097460012,9.398998488722807,1.000737446775359,1.3654563610670645
27,0,178.1301339820992,5.195412683718011,176.98836672401768,179.27190124018077,9.599703088285818,0.7911222791502045,2.1674639519043817
28,0,178.7112472730984,5.37270058483549,177.443749330426,179.9787452157708,10.115039310108175,0.6303618595628061,3.137431733299323
29,0,178.9480736842683,5.3016170545777905,178.07960023291852,179.81654713561812,10.190891272113008,0.4123428370425731,4.693870637750648
30,0,179.01136348763495,5.244323461727731,178.36720587345764,179.65552110181227,10.218501438071334,0.27014548538412886,4.00501011112872
31,0,178.91059125762993,5.628767174894181,177.90163569897823,179.91954681628164,10.848004403244968,0.40952994654339436,5.432187326558028
32,0,178.50590780618893,5.391559680732605,177.8090339792811,179.20278163309672,10.487966986382414,0.2951523750827972,13.678922549856004
33,0,177.34902902657996,5.119620436794236,177.11181203863444,177.58624601452547,8.988173419438303,1.2510674541501698,27.98571414941967
34,0,176.91606791680277,4.958157295933123,177.27353157384889,176.55860425975666,8.654769354567417,1.2615452372988292,18.595711677633197
35,0,177.8487825107806,4.954934900388398,178.10080889094155,177.59675613061964,8.3774965593596,1.532373241417197,7.776772073203466
36,0,177.06266814269634,3.4426360521427246,177.30281285754893,176.82252342784372,6.534917998210612,0.3503541060748371,21.62220256245091
37,0,177.27619523326504,3.163521061021167,177.48610821542542,177.06628225110467,5.647494236431828,0.679547885610506,7.474480540142912
38,0,178.67365526295788,3.9244410525341644,178.53549130395038,178.8118192219654,7.604596737846986,0.24428536722134236,44.80374852455285
39,0,178.27059145374892,4.774963497055844,178.59648600260036,177.94469690489746,8.694664098398151,0.8552628957135363,21.147897826138294
40,0,177.80332819127386,4.517879842666505,178.86434376939016,176.74231261315754,8.917443149042825,0.1183165362901861,9.721675146330485
41,0,178.05940389821137,4.726308528117914,178.5151277146349,177.60368008178781,9.307557620993835,0.14505943524199422,10.935252906218519
42,0,177.2141242299506,4.97975214358028,177.9890968407706,176.43915161913063,9.955664791796256,0.0038394953643032374,12.357901412885857
43,0,177.25670222623785,5.163843761444831,177.05125060167242,177.4621538508033,9.357886643028555,0.9698008798611054,14.768458275956071
